Date,CPI_Combined
01-01-2015,118.3
01-02-2015,118.4
01-03-2015,118.7
01-04-2015,119.5
01-05-2015,120.6
01-06-2015,122.3
01-07-2015,123.3
01-08-2015,124.1
01-09-2015,124.3
01-10-2015,125.1
01-11-2015,125.5
01-12-2015,124.9
01-01-2016,125.1
01-02-2016,124.8
01-03-2016,124.9
01-04-2016,126
01-05-2016,127.4
01-06-2016,128.6
01-07-2016,129.9
01-08-2016,129.6
01-09-2016,129.1
01-10-2016,129.3
01-11-2016,129.2
01-12-2016,128.4
01-01-2017,128.6
01-02-2017,128.9
01-03-2017,129.3
01-04-2017,129.8
01-05-2017,130.1
01-06-2017,130.5
01-07-2017,132.2
01-08-2017,133.3
01-09-2017,133.4
01-10-2017,134.2
01-11-2017,135.5
01-12-2017,135.6
01-01-2018,135.4
01-02-2018,135.2
01-03-2018,135.6
01-04-2018,136.1
01-05-2018,136.5
01-06-2018,137.4
01-07-2018,138.4
01-08-2018,139.1
01-09-2018,139.1
01-10-2018,139.4
01-11-2018,139.4
01-12-2018,139
01-01-2019,138.8
01-02-2019,138.8
01-03-2019,139.5
01-04-2019,140.2
01-05-2019,141.1
01-06-2019,142.1
01-07-2019,142.8
01-08-2019,143.4
01-09-2019,144.3
01-10-2019,145.6
01-11-2019,147.2
01-12-2019,150.4
01-01-2020,150.2
01-02-2020,149.1
01-03-2020,148.6
01-04-2020,150.8
01-05-2020,151.2
01-06-2020,151.6
01-07-2020,153.9
01-08-2020,154.7
01-09-2020,156.9
01-10-2020,158.4
01-11-2020,158.9
01-12-2020,157.9
01-01-2021,156.8
01-02-2021,156.3
01-03-2021,156.8
01-04-2021,157.8
01-05-2021,160.4
01-06-2021,161.3
01-07-2021,162.5
01-08-2021,162.9
01-09-2021,163.2
01-10-2021,165.5
01-11-2021,166.7
01-12-2021,166.2
01-01-2022,165.7
01-02-2022,166.1
01-03-2022,167.7
01-04-2022,170.1
01-05-2022,171.7
01-06-2022,172.6
01-07-2022,173.4
01-08-2022,174.3
01-09-2022,175.3
01-10-2022,176.7
01-11-2022,176.5
01-12-2022,175.7
01-01-2023,176.5
01-02-2023,176.8
01-03-2023,177.2
01-04-2023,178.1
01-05-2023,179.1
01-06-2023,181
01-07-2023,186.3
01-08-2023,186.2
01-09-2023,184.1
01-10-2023,185.3
01-11-2023,186.3
01-12-2023,185.7
01-01-2024,185.5
01-02-2024,185.8
01-03-2024,185.8
01-04-2024,186.7
01-05-2024,187.7
01-06-2024,190.2
01-07-2024,193
01-08-2024,193
01-09-2024,194.2
01-10-2024,196.8
01-11-2024,196.5
01-12-2024,195.4
01-01-2025,193.4
01-02-2025,192.5
01-03-2025,192
01-04-2025,192.6
01-05-2025,193
01-06-2025,194.2
01-07-2025,196
