Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,124.3,5.071851225697377,-11.468105065666045,,,
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,125.1,0.6436041834271933,0.0,,,
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,125.5,0.3197442046362964,0.0,,,
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,124.9,-0.47808764940238113,0.0,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,118.3,-5.284227381905526,-1.5275938189845406,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,118.4,0.08453085376163294,0.0,,,
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,124.1,4.814189189189189,1.5512912482065877,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,118.7,-4.351329572925056,-1.5275938189845406,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,120.6,1.60067396798651,0.0,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,122.3,1.4096185737976885,0.0,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,123.3,0.8176614881439059,0.0,,,
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,124.1,0.6488240064882467,0.0,-0.27129945617757334,,-0.30308600557907583
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,124.3,0.16116035455278066,0.0,0.969267145586647,,0.2909005152931622
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,125.1,0.6436041834271933,0.0,0.969267145586647,,0.2909005152931625
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,119.5,-4.476418864908071,0.0,0.8469747318062337,,0.22829679920285506
2015-01-01,1115.2,"1,133.80","1,156.40","1,097.70",2.67M,-1.53%,125.5,5.020920502092041,0.0,0.7725750652912727,,0.18408647831564018
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,123.3,-1.7529880478087678,1.5512912482065877,0.4207862535226299,,0.11388670322399969
2015-01-01,1132.5,"1,095.10","1,169.80","1,080.20",3.18M,3.42%,120.6,-2.1897810218978075,0.0,0.41912699772285716,,0.10994847342748248
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,118.7,-1.5754560530679917,-3.302428256070644,0.23474024373606464,,0.1012724244893701
2015-01-01,1095.1,"1,172.40","1,174.40","1,072.30",3.60M,-6.55%,119.5,0.6739679865206405,0.0,0.09228168395358473,,0.042331423771313055
